path,label
./data/meow\-2--Xzix2Vk_0_0.wav,1
./data/meow\-2--Xzix2Vk_0_1.wav,0
./data/meow\-2--Xzix2Vk_0_2.wav,0
./data/meow\-2BR7sVLPCE_13_0.wav,0
./data/meow\-2BR7sVLPCE_13_17.wav,0
./data/meow\-2BR7sVLPCE_13_2.wav,1
./data/meow\-2BR7sVLPCE_13_21.wav,0
./data/meow\-2BR7sVLPCE_13_22.wav,0
./data/meow\-2BR7sVLPCE_13_23.wav,0
./data/meow\-2BR7sVLPCE_13_28.wav,0
./data/meow\-2BR7sVLPCE_13_30.wav,1
./data/meow\-2BR7sVLPCE_13_9.wav,0
./data/meow\-3E36nmSffc_16_0.wav,0
./data/meow\-3E36nmSffc_16_1.wav,0
./data/meow\-3E36nmSffc_16_10.wav,0
./data/meow\-3E36nmSffc_16_11.wav,0
./data/meow\-3E36nmSffc_16_2.wav,0
./data/meow\-3E36nmSffc_16_3.wav,0
./data/meow\-3E36nmSffc_16_7.wav,0
./data/meow\-3E36nmSffc_16_8.wav,0
./data/meow\-3qVzrEZ8l0_30_0.wav,0
./data/meow\-3qVzrEZ8l0_30_1.wav,1
./data/meow\-3qVzrEZ8l0_30_105.wav,0
./data/meow\-3qVzrEZ8l0_30_106.wav,0
./data/meow\-3qVzrEZ8l0_30_110.wav,0
./data/meow\-3qVzrEZ8l0_30_111.wav,0
./data/meow\-3qVzrEZ8l0_30_113.wav,0
./data/meow\-3qVzrEZ8l0_30_117.wav,0
./data/meow\-3qVzrEZ8l0_30_118.wav,0
./data/meow\-3qVzrEZ8l0_30_119.wav,0
./data/meow\-3qVzrEZ8l0_30_124.wav,0
./data/meow\-3qVzrEZ8l0_30_126.wav,0
./data/meow\-3qVzrEZ8l0_30_128.wav,0
./data/meow\-3qVzrEZ8l0_30_129.wav,0
./data/meow\-3qVzrEZ8l0_30_13.wav,0
./data/meow\-3qVzrEZ8l0_30_130.wav,1
./data/meow\-3qVzrEZ8l0_30_131.wav,0
./data/meow\-3qVzrEZ8l0_30_133.wav,0
./data/meow\-3qVzrEZ8l0_30_136.wav,0
./data/meow\-3qVzrEZ8l0_30_139.wav,0
./data/meow\-3qVzrEZ8l0_30_14.wav,0
./data/meow\-3qVzrEZ8l0_30_148.wav,0
./data/meow\-3qVzrEZ8l0_30_15.wav,0
./data/meow\-3qVzrEZ8l0_30_150.wav,0
./data/meow\-3qVzrEZ8l0_30_151.wav,0
./data/meow\-3qVzrEZ8l0_30_2.wav,0
./data/meow\-3qVzrEZ8l0_30_24.wav,0
./data/meow\-3qVzrEZ8l0_30_27.wav,0
./data/meow\-3qVzrEZ8l0_30_28.wav,0
./data/meow\-3qVzrEZ8l0_30_29.wav,0
./data/meow\-3qVzrEZ8l0_30_3.wav,0
./data/meow\-3qVzrEZ8l0_30_31.wav,0
./data/meow\-3qVzrEZ8l0_30_39.wav,0
./data/meow\-3qVzrEZ8l0_30_4.wav,0
./data/meow\-3qVzrEZ8l0_30_42.wav,0
./data/meow\-3qVzrEZ8l0_30_43.wav,0
./data/meow\-3qVzrEZ8l0_30_49.wav,0
./data/meow\-3qVzrEZ8l0_30_5.wav,0
./data/meow\-3qVzrEZ8l0_30_50.wav,0
./data/meow\-3qVzrEZ8l0_30_53.wav,0
